author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix,
1302724246.000000,0.000000,4.000000,13.000000,58.000000,5.310767,7849.000000,0.000000,0.000000,1.000000,0.000000,0.000000,28.500000,0.000000,3.000000,0.000000,0.000000,
1302724463.000000,1.000000,1.000000,1.000000,1.000000,0.000000,6.000000,8.000000,39.000000,1.000000,0.002512,1.000000,58.000000,399.156682,4.000000,0.000000,0.000000,
1302774320.000000,0.000000,2.000000,18.000000,42.000000,4.538676,1710.000000,0.000000,9.761905,2.000000,0.013799,1.000000,20.500000,0.064892,40.000000,0.000000,0.000000,
1302776034.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,451.000000,2.000000,0.019838,2.000000,42.000000,51.408401,1.000000,0.000000,0.000000,
1302776400.000000,0.000000,2.000000,2.000000,2.000000,0.503258,9.000000,0.000000,318.500000,2.000000,0.014155,4.000000,43.500000,39.430719,2.000000,0.000000,0.000000,
1302777029.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10.000000,11.000000,37.000000,1.000000,0.608403,2.000000,45.000000,2.643648,3.000000,0.000000,0.000000,
1302777405.000000,0.000000,6.000000,12.000000,30.000000,4.235122,1764.000000,6.000000,25.200000,2.000000,0.062059,10.000000,73.500000,2.408336,6.000000,1.000000,11.881300,
1302777583.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,4.000000,28.000000,2.000000,0.037766,1.000000,46.000000,27.478701,42.000000,0.000000,0.000000,
1302781364.000000,0.000000,2.000000,2.000000,2.000000,0.929095,79.000000,40.000000,41.500000,2.000000,0.022911,4.000000,89.500000,11.411846,7.000000,0.000000,0.000000,
1302787451.000000,0.000000,2.000000,3.000000,3.000000,0.970623,53.000000,2.000000,217.666667,2.000000,0.081393,7.000000,48.000000,7.577321,4.000000,0.000000,0.000000,
1302788420.000000,0.000000,1.000000,5.000000,18.000000,3.763232,521.000000,64.000000,22.500000,2.000000,0.063744,9.000000,99.500000,3.529711,39.000000,1.000000,11.753800,
1302790944.000000,0.000000,3.000000,3.000000,3.000000,0.636924,47.000000,36.000000,256.333333,2.000000,0.346516,3.000000,110.000000,2.111386,1.000000,0.000000,0.000000,
1302792879.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,18.000000,2.000000,0.214803,1.000000,112.000000,5.655423,2.000000,0.000000,0.000000,
1302797071.000000,0.000000,1.000000,2.000000,3.000000,1.409516,326.000000,0.000000,0.000000,1.000000,0.000000,0.000000,51.000000,0.000000,2.000000,1.000000,229.153100,
1302797110.000000,0.000000,3.000000,8.000000,16.000000,3.563467,808.000000,39.000000,41.312500,2.000000,0.013974,9.000000,60.500000,0.963596,5.000000,0.000000,0.000000,
1302809223.000000,0.000000,9.000000,16.000000,21.000000,3.054016,314.000000,180.000000,99.714286,2.000000,0.199346,32.000000,123.000000,1.700386,8.000000,1.000000,819.048800,
1302813492.000000,0.000000,1.000000,1.000000,1.000000,0.000000,3.000000,0.000000,189.000000,2.000000,0.189606,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1302814354.000000,0.000000,1.000000,3.000000,8.000000,2.466945,16.000000,11.000000,45.125000,2.000000,0.199583,8.000000,4.500000,2.702207,8.000000,0.000000,0.000000,
1302850792.000000,0.000000,1.000000,1.000000,2.000000,0.890492,21.000000,5.000000,53.500000,2.000000,0.681487,4.000000,134.500000,2.088673,5.000000,0.000000,0.000000,
1302855282.000000,0.000000,1.000000,1.000000,1.000000,0.000000,76.000000,7.000000,34.000000,2.000000,0.051968,3.000000,69.000000,20.242762,46.000000,0.000000,0.000000,
1302855952.000000,0.000000,5.000000,6.000000,7.000000,1.931245,73.000000,8.000000,157.142857,2.000000,0.387426,25.000000,139.000000,1.778398,9.000000,0.000000,0.000000,
1302858547.000000,0.000000,1.000000,2.000000,2.000000,0.721928,3.000000,2.000000,67.000000,2.000000,0.502442,6.000000,70.500000,18.144969,48.000000,0.000000,0.000000,
1302858788.000000,0.000000,1.000000,1.000000,1.000000,0.000000,8.000000,0.000000,42.000000,2.000000,0.977639,1.000000,72.000000,2.022873,49.000000,0.000000,0.000000,
1302859285.000000,1.000000,1.000000,2.000000,2.000000,0.117595,56.000000,70.000000,159.500000,2.000000,0.022164,8.000000,73.500000,25.240669,51.000000,0.000000,0.000000,
1302863021.000000,0.000000,1.000000,1.000000,1.000000,0.000000,35.000000,10.000000,107.000000,2.000000,0.051782,6.000000,75.000000,20.311578,52.000000,0.000000,0.000000,
1302863407.000000,1.000000,1.000000,1.000000,1.000000,0.000000,46.000000,0.000000,189.000000,2.000000,1.031100,1.000000,76.000000,1.969838,53.000000,0.000000,0.000000,
1302863908.000000,1.000000,1.000000,1.000000,1.000000,0.000000,13.000000,0.000000,255.000000,2.000000,0.053507,7.000000,77.000000,19.689163,54.000000,0.000000,0.000000,
1302863993.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,26.000000,2.000000,1.000116,2.000000,78.000000,1.999884,55.000000,0.000000,0.000000,
1302871475.000000,0.000000,1.000000,2.000000,3.000000,1.435521,4.000000,5.000000,58.000000,2.000000,0.796682,5.000000,80.000000,1.699287,58.000000,0.000000,0.000000,
1302877015.000000,0.000000,1.000000,2.000000,3.000000,0.000000,1.000000,1.000000,18.333333,3.000000,0.792400,2.000000,1.000000,1.087330,2.000000,0.000000,0.000000,
1302877959.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,4.000000,28.000000,2.000000,0.224676,2.000000,82.000000,5.450855,59.000000,0.000000,0.000000,
1302878413.000000,0.000000,2.000000,2.000000,2.000000,0.413817,75.000000,9.000000,241.000000,3.000000,0.129983,9.000000,3.500000,4.846668,0.000000,0.000000,0.000000,
1302879600.000000,0.000000,1.000000,3.000000,5.000000,1.583492,389.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,0.000000,4.000000,0.000000,0.000000,
1302894310.000000,0.000000,3.000000,8.000000,8.000000,2.705530,752.000000,5.000000,67.625000,3.000000,0.022999,10.000000,13.500000,0.804373,1.000000,0.000000,0.000000,
1302986317.000000,0.000000,1.000000,4.000000,4.000000,1.645179,60.000000,111.000000,132.250000,3.000000,1.064896,4.000000,19.500000,1.489093,9.000000,0.000000,0.000000,
1302986362.000000,0.000000,1.000000,3.000000,4.000000,1.013162,270.000000,0.000000,14.750000,1.000000,0.308918,1.000000,23.500000,1.809277,8.000000,1.000000,32.658900,
1302986419.000000,0.000000,1.000000,2.000000,8.000000,2.685165,217.000000,306.000000,65.875000,3.000000,1.527238,11.000000,29.500000,1.174005,7.000000,0.000000,0.000000,
1302987005.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,165.000000,3.000000,0.007963,2.000000,34.000000,126.581395,10.000000,0.000000,0.000000,
1302988021.000000,0.000000,1.000000,1.000000,1.000000,0.000000,9.000000,2.000000,165.000000,3.000000,0.011759,3.000000,35.000000,86.039370,11.000000,0.000000,0.000000,
1303137419.000000,1.000000,1.000000,1.000000,1.000000,0.000000,6.000000,12.000000,172.000000,3.000000,1.729144,4.000000,36.000000,1.578321,12.000000,0.000000,0.000000,
1303148952.000000,1.000000,2.000000,11.000000,18.000000,3.261989,1419.000000,0.000000,31.444444,3.000000,0.163736,11.000000,45.500000,0.074406,2.000000,0.000000,0.000000,
1303149001.000000,0.000000,2.000000,9.000000,20.000000,3.927081,1505.000000,0.000000,28.550000,3.000000,0.000028,12.000000,64.500000,88.213265,3.000000,1.000000,851.077200,
1303226769.000000,0.000000,2.000000,9.000000,31.000000,4.231819,6265.000000,0.000000,18.451613,3.000000,0.029035,13.000000,158.000000,0.068097,10.000000,1.000000,0.765600,
1303283675.000000,0.000000,1.000000,7.000000,31.000000,3.493109,1033.000000,554.000000,181.290323,3.000000,0.531157,25.000000,189.000000,1.210664,60.000000,1.000000,0.106900,
1303290205.000000,1.000000,1.000000,1.000000,1.000000,0.000000,4.000000,4.000000,128.000000,4.000000,-2.355255,4.000000,277.000000,0.575417,24.000000,0.000000,0.000000,
1303290205.000000,1.000000,1.000000,1.000000,1.000000,0.000000,4.000000,4.000000,128.000000,1.000000,6.550451,1.000000,205.000000,1.152661,20.000000,0.000000,0.000000,
1303291734.000000,0.000000,1.000000,1.000000,1.000000,0.000000,3.000000,2.000000,458.000000,3.000000,0.093275,2.000000,206.000000,11.720933,61.000000,0.000000,0.000000,
1303292915.000000,1.000000,1.000000,3.000000,3.000000,1.233514,46.000000,17.000000,223.666667,3.000000,0.295397,6.000000,208.000000,7.256675,64.000000,0.000000,0.000000,
1303307758.000000,0.000000,1.000000,8.000000,11.000000,2.612940,122.000000,147.000000,247.636364,3.000000,0.343984,19.000000,215.000000,1.973607,75.000000,0.000000,0.000000,
1303310313.000000,0.000000,2.000000,6.000000,11.000000,2.830064,588.000000,121.000000,126.000000,3.000000,0.183873,27.000000,226.000000,7.811021,11.000000,1.000000,0.002000,
1303310489.000000,1.000000,1.000000,1.000000,1.000000,0.000000,6.000000,15.000000,127.000000,3.000000,0.002037,1.000000,232.000000,491.909091,86.000000,0.000000,0.000000,
1303321121.000000,1.000000,2.000000,2.000000,2.000000,1.000000,4.000000,4.000000,346.000000,3.000000,0.125093,20.000000,75.500000,6.995559,4.000000,0.000000,0.000000,
1303321174.000000,0.000000,1.000000,1.000000,1.000000,0.000000,7.000000,7.000000,171.000000,3.000000,0.155278,2.000000,77.000000,7.440072,1.000000,1.000000,0.902300,
1303321233.000000,0.000000,1.000000,2.000000,3.000000,0.820809,93.000000,57.000000,156.000000,3.000000,0.197319,10.000000,79.000000,260.825635,4.000000,1.000000,0.827900,
1303322378.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,118.000000,3.000000,0.013252,7.000000,233.000000,76.458515,87.000000,0.000000,0.000000,
1303331893.000000,0.000000,1.000000,1.000000,2.000000,0.965202,82.000000,46.000000,203.500000,3.000000,0.340729,4.000000,81.500000,5.786253,6.000000,0.000000,0.000000,
